id,name,type,rarity,elixir,hitpoints,damage,range,speed,role,active
27000000,Cannon,building,Common,3,322.0,0.0,5500.0,0.0,Defensive Building / Ground Pull,True
27000006,Tesla,building,Common,4,450.0,90.0,5500.0,0.0,Defensive Building / Anti-Air,True
,Inferno Tower,building,Rare,5,825.0,20.0,6000.0,0.0,Defensive Building / Anti-Air,True
,Bomb Tower,building,Rare,4,640.0,0.0,6000.0,0.0,Defensive Building / Ground Pull,True
27000002,Mortar,building,Common,4,535.0,0.0,11500.0,0.0,Siege Building / Win Condition,True
,Goblin Hut,building,Rare,5,400.0,0.0,0.0,0.0,Spawner Building,True
,Furnace,building,Rare,4,400.0,0.0,0.0,0.0,Defensive Building / Ground Pull,True
,Barbarian Hut,building,Rare,6,550.0,0.0,0.0,0.0,Spawner Building,True
,Elixir Collector,building,Rare,,505.0,0.0,0.0,0.0,Unknown Role,True
27000009,Tombstone,building,Rare,3,250.0,0.0,0.0,0.0,Spawner Building,True
